claim_id,model_id,score,quote,grading_call_id
c-001,openai/gpt-5.4,2,"The official STE site states that the current version is **Issue 9, January 15, 2025**",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-001,anthropic/claude-opus-4.7,2,"The current edition, published in January 2025, consists of 53 writing rules and a dictionary of approximately 900 approved words.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-001,x-ai/grok-4.5,2,Issue 9 (January 2025) comprises ~53 writing rules plus a dictionary of ~900 approved words,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-002,openai/gpt-5.4,2,ASD-STE100 is a controlled language standard originally developed for maintenance documentation,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-002,anthropic/claude-opus-4.7,3,"originally developed in the 1980s by the European Association of Aerospace Industries (AECMA) at the request of the European Airline industry, which wanted a standardized form of English for aircraft maintenance documentation that could be easily understood by non-native English-speakers",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-002,x-ai/grok-4.5,2,"STE is optimized for **procedures and safety-critical description**, not for persuasive essays, literary voice, or open scientific argumentation",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-003,openai/gpt-5.4,2,The official STE site warns that software tools can support checking but do not themselves 'write STE' or reliably convert arbitrary prose into compliant STE.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-003,anthropic/claude-opus-4.7,3,"No language checker can guarantee full compliance with STE, because the goal of STE is clarity — only human writers can judge whether a sentence or paragraph makes good sense.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-003,x-ai/grok-4.5,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-004,openai/gpt-5.4,2,"controlled language is highly useful in: maintenance procedures, safety notices, operational instructions… But it is a weaker fit for: exploratory essays, persuasive blog posts, nuanced argument",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-004,anthropic/claude-opus-4.7,3,"The STE guide was never meant to become a general writing standard; nevertheless, it was successfully adopted by many industries.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-004,x-ai/grok-4.5,2,Official guidance stresses STE is **not a standalone style guide**—it must sit with domain specs and professional judgment. Over-application outside maintenance/procedure genres is a known misapplication risk.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-005,openai/gpt-5.4,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-005,anthropic/claude-opus-4.7,3,CFE was discontinued by Caterpillar in 1982 because (among other reasons) the basic guidelines of CFE were not enforceable in the English documents produced.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-005,x-ai/grok-4.5,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-006,openai/gpt-5.4,1,"The Federal Plain Language Guidelines define the outcome in user terms: readers should be able to find, understand, and use what they need.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-006,anthropic/claude-opus-4.7,3,"the broadest, clearest, and most well-known plain language law is the Plain Writing Act of 2010, signed into law on October 13, 2010. It aims to make government information easier for people to access and understand, and requires federal agencies to use clear language that the public can understand.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-006,x-ai/grok-4.5,2,U.S. Federal Plain Language Guidelines (implementing the Plain Writing Act of 2010),gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-007,openai/gpt-5.4,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-007,anthropic/claude-opus-4.7,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-007,x-ai/grok-4.5,3,"**ISO 24495-1:2023** frames four governing principles: content is **relevant**, **findable**, **understandable**, and **usable** for the intended reader.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-008,openai/gpt-5.4,2,"Plain-language guidance generally advises replacing jargon when everyday words preserve the same meaning, not eliminating precision.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-008,anthropic/claude-opus-4.7,3,One of the most common plain language myths is that you have to 'dumb down' your content so that everyone can read it. That's not true. Use language your audience understands and feels comfortable with.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-008,x-ai/grok-4.5,2,"""Plain"" is audience-relative. A term that is plain to a senior engineer is jargon to a citizen.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-009,openai/gpt-5.4,2,"Gopen and Swan argue that clarity depends heavily on placing information where readers expect it, especially using sentence openings to orient readers and sentence endings to carry emphasis.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-009,anthropic/claude-opus-4.7,3,Put in the topic position the old information that links backward; put in the stress position the new information you want the reader to emphasize.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-009,x-ai/grok-4.5,2,"Gopen–Swan flow, evidence-calibrated hedges, genre structure",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-010,openai/gpt-5.4,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-010,anthropic/claude-opus-4.7,3,Gopen and Swan also make clear that these are 'principles' not 'rules.',gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-010,x-ai/grok-4.5,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-011,openai/gpt-5.4,1,"the Pyramid Principle and related business-writing advice support leading with the answer, especially for decision-making contexts",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-011,anthropic/claude-opus-4.7,3,"avoid the Pyramid Principle when your audience needs to be emotionally engaged before hearing your conclusion, when you're delivering bad news that requires context first, or when you genuinely don't have a recommendation yet.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-011,x-ai/grok-4.5,1,"Pyramid answer-first, decide-don't-survey, owned voice",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-012,openai/gpt-5.4,2,"Traditional readability formulas focus on surface proxies such as word and sentence length. Those proxies can correlate with reading difficulty, but they are incomplete.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-012,anthropic/claude-opus-4.7,3,The Flesch-Kincaid readability assessment tool along with other traditional metrics remains widely used to measure text complexity yet fails to accurately measure text difficulty because it only evaluates quantifiable characteristics of word length and sentence structure,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-012,x-ai/grok-4.5,2,"Formulas ignore content difficulty, prior knowledge, layout, cohesion, and retrieval aids.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-013,openai/gpt-5.4,2,"detectors trained on earlier outputs perform worse on newer, more sophisticated models, and that data diversity and model evolution remain major challenges",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-013,anthropic/claude-opus-4.7,2,Perkins et al. evaluated six major detectors and found their average accuracy (already a modest 39.5%) dropped to 17.4% when faced with texts lightly modified to evade detection.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-013,x-ai/grok-4.5,2,"Paraphrasing and light editing sharply degrade detector accuracy (e.g., DIPPER paraphrases collapsing DetectGPT-style performance while preserving semantics). OpenAI retired its own classifier citing low accuracy.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-014,openai/gpt-5.4,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-014,anthropic/claude-opus-4.7,3,"Studies also demonstrated systematic bias against non-native English speakers, with seven detectors showing 61.3% false positive rates on TOEFL essays compared to near-zero on native English writing.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-014,x-ai/grok-4.5,2,false positives have harmed non-native writers in academic settings,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-015,openai/gpt-5.4,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-015,anthropic/claude-opus-4.7,3,"Vanderbilt University disabled Turnitin's AI detection in August 2023, noting that even 1% false positives applied to 75,000 papers yields ~750 wrongful accusations annually.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-015,x-ai/grok-4.5,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-016,openai/gpt-5.4,2,disclosure may also lower perceived quality or authenticity in some evaluative settings,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-016,anthropic/claude-opus-4.7,3,"Several studies show that when readers learn AI contributed to a text, their trust in the human author declines even if the quality of the text is unchanged. This 'transparency penalty' challenges the conventional assumption that openness builds trust.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-016,x-ai/grok-4.5,2,Multiple experiments find **disclosing AI use can reduce trust** in the actor ('transparency dilemma').,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-017,openai/gpt-5.4,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-017,anthropic/claude-opus-4.7,3,"People with more positive attitudes toward AI show a smaller decline in trust upon disclosure. A user's AI literacy plays a significant role in shaping their perceptions — AI-literate individuals tend to view its use as pragmatic, whereas less knowledgeable readers may interpret it as a sign of incompetence or laziness.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-017,x-ai/grok-4.5,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-018,openai/gpt-5.4,2,"a recent vignette study found readers often see disclosure as more necessary than writers do, and view disclosure as more necessary when AI's contribution is direct, irreplaceable, or not intentionally steered by the writer",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-018,anthropic/claude-opus-4.7,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-018,x-ai/grok-4.5,2,Readers often want disclosure more than writers do; necessity judgments depend on how central/irreplaceable AI contribution was.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-019,openai/gpt-5.4,2,nondisclosure can require corrective action and may amount to misconduct in some cases,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-019,anthropic/claude-opus-4.7,3,"using AI content humanizers to deliberately mask AI authorship is seen as cheating and dishonest, even if it helps you pass initial AI detection checks",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-019,x-ai/grok-4.5,2,Integrity risk: tools that maximize 'undetectable' output facilitate undisclosed AI use in academic/professional contexts where disclosure or human authorship is required.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-020,openai/gpt-5.4,2,"advice based on a fixed list of 'AI tells' is, at best, heuristic. It may catch stereotyped generated prose, but it cannot be treated as robust detection science.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-020,anthropic/claude-opus-4.7,3,"2023 to mid-2024 (GPT-4): Additionally, boasts, bolstered, crucial, delve… Mid-2024 to mid-2025 (GPT-4o): align with, bolstered, crucial… The signs of AI use vary between models and are constantly changing over time.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-020,x-ai/grok-4.5,2,"These are **probabilistic style markers**, not proof.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-021,openai/gpt-5.4,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-021,anthropic/claude-opus-4.7,3,"Human speech and writing is being influenced by LLMs, and thus they are becoming more similar. This was already evident in 2024, as shown by a study that detected a significant LLM influence in spoken content (e.g. conversational podcasts).",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-021,x-ai/grok-4.5,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-022,openai/gpt-5.4,3,"ICMJE now says authors, editors, publishers, and reviewers should be transparent about AI use, including which tool was used and for what purpose. It also indicates that nondisclosure can require corrective action and may amount to misconduct in some cases.",gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-022,anthropic/claude-opus-4.7,0,,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-022,x-ai/grok-4.5,1,Scholarly norms increasingly push disclosure of material AI assistance; undisclosed use risks retraction and reputational harm.,gen-1786548963-7qkwDt9LAmErI1fjjoNN
c-023,openai/gpt-5.4,1,"Detection remains unstable and model-contingent, while disclosure norms are strengthening",gen-1786548963-7qkwDt9LAmErI1fjjoNN
