claim_id,model_id,score,quote,grading_call_id
c-001,openai/gpt-5.4,2,max **20 words for procedures** and **25 words for description**,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-001,anthropic/claude-opus-4.7,2,"Sentence caps: ≤20 words for procedures, ≤25 for description",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-001,x-ai/grok-4.5,2,"Restricted syntax — limits on tense, -ing forms, passive, noun clusters, sentence length (procedures ~20 words; descriptive ~25 in STE Issue 8/9 rule families)",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-002,openai/gpt-5.4,2,"Use approved words only in their approved part of speech and approved meaning; ""one word = one meaning.""",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-002,anthropic/claude-opus-4.7,2,"an approved word list (roughly ~900 words, one part-of-speech and one meaning per entry)",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-002,x-ai/grok-4.5,2,Restricted vocabulary with one meaning per approved word — reduces polysemy errors for L2 readers and for machine translation,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-003,openai/gpt-5.4,2,"These are context-specific constraints, not universal writing rules",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-003,anthropic/claude-opus-4.7,2,"STE is correct for aircraft maintenance procedures, medical device IFUs, and safety-critical instructions. It is wrong for a launch announcement, a blog post, or a design memo, and the standard itself says so.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-003,x-ai/grok-4.5,2,"STE is for **technical procedural and descriptive prose**, not marketing, narrative, or argumentative essays.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-004,openai/gpt-5.4,1,"The README claims the skill ""compresses the full standard"" into one skill. Source: `README.md`. That is plausible as an implementation goal, but compression inevitably loses nuance.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-004,anthropic/claude-opus-4.7,2,STE Issue 9 has a Part 2 (the dictionary of approved words). The skill compresses Part 1 fully but represents Part 2 only via the recurring-errors table and approved-verb list.,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-004,x-ai/grok-4.5,2,"**Dictionary completeness:** STE's power is Part 2 word-by-word approved meanings. The skill ships rules + verb list + replacement table, not the full dictionary. Heuristic (""approved / technical / restructure"") approximates but **cannot guarantee STE compliance**.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-005,openai/gpt-5.4,2,The packet does not cite a source for this threshold. It appears to be a repo-specific heuristic rather than an established readability finding.,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-005,anthropic/claude-opus-4.7,2,The CV > 0.4 acceptance criterion is a heuristic derived from human-prose distributions; readability research (§1.5) warns against optimizing against surface metrics.,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-005,x-ai/grok-4.5,2,"**Cadence CV > 0.4** is a heuristic **not** grounded in classic readability RCTs; it targets detector-era metronomy (Part 1.6), not comprehension.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-006,openai/gpt-5.4,0,,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-006,anthropic/claude-opus-4.7,2,"Rewriting to hit a Flesch score can produce choppy, incoherent prose that scores well and reads badly. This is documented in Bruce, Rubin & Starr (1981) and repeatedly since.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-006,x-ai/grok-4.5,2,Shortening sentences can **raise** formula scores while destroying connective tissue readers need (cf. Gopen & Swan on misplaced emphasis).,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-007,openai/gpt-5.4,2,important information goes in the **stress position** at sentence end; sentences should begin with familiar or established information (**topic position**); paragraphs should move **old to new**; keep **subject and verb close**,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-007,anthropic/claude-opus-4.7,2,"Their principles (topic position, stress position, old-to-new flow, subject-verb proximity) are the standard reference for technical/scientific prose",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-007,x-ai/grok-4.5,2,"Gopen & Swan, ""The Science of Scientific Writing,"" *American Scientist* (1990):** reader expectations for subject-verb proximity, stress position, old-to-new cohesion—standard citation in STEM editing.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-008,openai/gpt-5.4,2,"The academic override says: do not force stronger claims than the evidence supports; related work and limitations should present multiple sides; technical terms are not AI tells when they are precise; passive voice can be legitimate; IMRaD structure and regular methods prose are conventions, not machine signals.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-008,anthropic/claude-opus-4.7,2,The scientific/academic override section is the strongest single element in the repo. It correctly: Distinguishes calibrated hedges from cowardly hedges ... Retains passive voice for methods ... Suspends the cadence-CV target for genre-conventional writing,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-008,x-ai/grok-4.5,2,"**Scientific/academic overrides** (calibrated hedges, IMRaD, passive as tool, Gopen & Swan, statistical *significant*)—strong genre sensitivity; among the best-aligned portions of the repo with Part 1.4–1.5.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-009,openai/gpt-5.4,2,"`humanize` explicitly rejects: manufactured contrarianism, forced profanity or slang, stray typos inserted on purpose, lowercase ""i"" left in to seem human.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-009,anthropic/claude-opus-4.7,2,"Text engineered to *pass* as human — inserted typos, forced casualness, faux-vulnerability — is itself becoming a detectable pattern",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-009,x-ai/grok-4.5,2,"**Anti-overcorrection** section (no fake typos, no staccato costume, no forced profanity)—explicitly aligned with the ""costume humanization"" failure mode in Part 1.6.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-010,openai/gpt-5.4,0,,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-010,anthropic/claude-opus-4.7,2,"Kobak et al. (2024, on arXiv abstracts) and Liang et al. (2024) documented statistically significant post-ChatGPT increases in words like *delve*, *underscores*, *pivotal*, *intricate*, *realm*.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-010,x-ai/grok-4.5,1,"Practitioner ""AI tell"" lists (vocabulary spikes such as *delve*, *tapestry*, uniform tricola, empty throat-clearing) match editorially observed artifacts—Wikipedia's community page ""Signs of AI writing"" is a living practitioner catalog, not a peer-reviewed instrument, but it is empirically grounded in revision patrol.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-011,openai/gpt-5.4,0,,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-011,anthropic/claude-opus-4.7,2,"AI detectors (GPTZero, Turnitin, OpenAI's own retired classifier) have high false-positive rates on human writing, especially non-native English writing. Liang et al. (2023, Stanford) is the most-cited study documenting bias against non-native writers.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-011,x-ai/grok-4.5,2,"humanize's ""commit, assert, use idiomatic English"" defaults are exactly the moves that mark non-native writing as ""AI-generated"" to biased detectors. The tool should know this.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-012,openai/gpt-5.4,2,"The repo lacks a meta-skill that asks: what is this text for, who is it for, and what failure matters most—ambiguity, boredom, legal risk, overclaiming, or perceived AI-ness?",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-012,anthropic/claude-opus-4.7,2,No front-door context router. Every skill assumes the user has already chosen the right one. The literature says choosing the rule-set *is* the writing task; the tool leaves this to the user.,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-012,x-ai/grok-4.5,2,No explicit **router** skill or decision tree for purpose/audience/content type; users must already know which regime they need.,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-013,openai/gpt-5.4,2,"There is `ste` for controlled technical language and `plainspoken` for chat, but no dedicated document-writing mode for general public-facing explanatory prose that is clearer than normal writing without the strictness of STE.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-013,anthropic/claude-opus-4.7,2,No handling of AI-disclosure norms ... No regulated-writing carve-out ... No cross-cultural / non-native audience guidance,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-013,x-ai/grok-4.5,2,"**True plain-language document skill** (gov/health/UX), separate from STE.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-014,openai/gpt-5.4,2,"The materials discuss AI detection and false humanization, but there is no explicit policy layer distinguishing: edit for clarity while preserving author voice, disclose AI assistance where appropriate, avoid deceptive impersonation.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-014,anthropic/claude-opus-4.7,2,"No handling of AI-disclosure norms. The tool implicitly optimizes for undisclosed passing. Nature, IEEE, ACM, and increasingly others require disclosure. This is a policy-alignment gap, not just a feature gap.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-014,x-ai/grok-4.5,2,"**Disclosure & accountability footer option in `humanize`** ... Optional trailing provenance for publishable drafts (""Drafted with AI assistance; claims verified by author"") configurable by venue",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-015,openai/gpt-5.4,2,"`plainspoken` is built around ""answer first,"" linked in the README to the **Pyramid Principle**",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-015,anthropic/claude-opus-4.7,2,"Answer-first is Minto's Pyramid Principle applied to chat, and it is well-supported.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-015,x-ai/grok-4.5,2,"**Pyramid Principle / answer-first** — direct implementation of Minto-style executive communication (Part 1.4). ... **Clear non-scope:** governs chat, not deliverable genres—excellent contingency design vs. one-style-fits-all tools.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-016,openai/gpt-5.4,2,"The `voice-profile.md` template asks for the user's own unedited samples and says the goal is to match their real sentence rhythm, punctuation habits, formality, and preferences.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-016,anthropic/claude-opus-4.7,2,"The voice-profile mechanism (outranks general rules, evidence-quoted) is a serious answer to the individual-voice problem that generic humanization ignores.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-016,x-ai/grok-4.5,2,"**Voice-profile calibration** — matches ""idiolect beats generic human"" (Part 1.7); AGENTS.md calibration protocol is operationally serious (messy samples, evidence-quoted patterns, overrides).",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-017,openai/gpt-5.4,2,"Acceptance criterion 5—""the piece takes at least one position that a competent reader could argue against""—fits opinionated essays, but not all docs, explanatory posts, or neutral reference materials.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-017,anthropic/claude-opus-4.7,2,"The default rule-set (assert, commit, take positions) is a rhetorical stance suitable for personal essay and opinion. For a corporate customer email under legal review, ""take at least one position a competent reader could argue against"" is actively harmful advice.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-017,x-ai/grok-4.5,2,"**Acceptance criterion 5** (""takes at least one position a competent reader could argue against"") is excellent for essays; dangerous if user applies default humanize to neutral documentation without hitting academic overrides",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-018,openai/gpt-5.4,0,,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-018,anthropic/claude-opus-4.7,2,"STE and humanize have partially incompatible defaults (STE bans contractions and mandates constrained vocabulary; humanize pushes toward committed, specific, sometimes-informal prose). The repo does not specify precedence when both are on",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-018,x-ai/grok-4.5,2,**Inter-skill conflict rules** when two modes are active (documented only lightly today).,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-019,openai/gpt-5.4,0,,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-019,anthropic/claude-opus-4.7,2,Whether the vocabulary-tell watchlist will stay stable as models are trained on their own outputs (drift is likely).,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-019,x-ai/grok-4.5,2,"Tell lists static; models drift ... **tells.md governance**: Version pin + quarterly refresh note; split ""homogenization tells"" (stable editorial) vs. ""detector tells"" (volatile)",gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-020,openai/gpt-5.4,0,,gen-1786559982-jWuTVKgkYAUbN75MTiVI
c-020,anthropic/claude-opus-4.7,2,"Noy & Zhang, *Science*, 2023, on ChatGPT and productivity) show large gains on professional writing tasks for mid-skill workers, with more homogeneous output.",gen-1786559982-jWuTVKgkYAUbN75MTiVI
