claim_id,model_id,score,quote,grading_call_id
c-001,openai/gpt-5.4,3,No: one set of principles does not serve all organizational writing.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-001,anthropic/claude-opus-4.7,3,No single set of principles serves all organizational writing.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-001,x-ai/grok-4.5,3,"The claim is false. Clear writing is not one thing, and the same principles do not serve all organizational communication.",gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-002,openai/gpt-5.4,2,"humanize also explicitly says 'force claims that commit,' and its acceptance criteria require that a piece 'takes at least one position that a competent reader could argue against.' That is a direct defect in genres where uncertainty is honest.",gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-002,anthropic/claude-opus-4.7,3,"The `humanize` skill's Pass 1 instruction to ""force claims that commit"" is a defect in four of the ten genres (investigation summary, research proposal, incident notification, status update) and dangerous in a fifth (postmortem).",gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-002,x-ai/grok-4.5,3,Humanize's instruction to 'force claims that commit' is a defect precisely where the honest state is uncertainty.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-003,openai/gpt-5.4,2,humanize partly repairs this by carving out scientific/academic exceptions and distinguishing calibrated from cowardly hedges. That exception undermines its own generality in a useful way: it tacitly admits that commitment cannot be a cross-genre clarity rule.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-003,anthropic/claude-opus-4.7,3,The skill's own scientific-papers override acknowledges this problem but scopes the fix too narrowly. The problem is not academic writing; it is any writing where the honest state is uncertainty.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-003,x-ai/grok-4.5,2,Humanize's scientific override correctly protects calibrated hedges and allows strategic passive; the default 'force claims' does not.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-004,openai/gpt-5.4,3,"the brief also states that the prior run found STE actively harmful for persuasion, because it removes devices persuasion depends on.",gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-004,anthropic/claude-opus-4.7,3,Persuasive force is where STE and the `ste` skill actively damage the artifact. This was the finding of the prior run and it holds: STE removes the devices persuasion depends on.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-004,x-ai/grok-4.5,3,STE is not a general-purpose standard and actively harms persuasion and calibrated uncertainty by design (controlled vocabulary and tense restrictions remove devices those tasks need).,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-005,openai/gpt-5.4,3,Notification and postmortem are incompatible registers for the same event. Notification must preserve uncertainty while facts move. Postmortem must later stabilize agency and causation for learning. Any single technique that rewards one register will misfit the other.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-005,anthropic/claude-opus-4.7,3,Incident notification and postmortem are the same event in incompatible registers. No technique in the set handles both.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-005,x-ai/grok-4.5,2,"Incident notification while facts are still moving (high calibration + brevity + actionability + empathy under time pressure and power asymmetry). Every commitment-oriented technique (humanize default, pure Pyramid/BLUF decisive tone, STE tense limits, Hemingway anti-hedge) damages the honest state.",gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-006,openai/gpt-5.4,3,"Surface features are valid diagnostics but bad optimization targets, and 'shorter is better' Goodharts fast",gen-1786661212-xG9dR6U8uwM0GDvYr5xa
c-006,anthropic/claude-opus-4.7,3,Optimising against the score is the canonical Goodhart failure the prior run flagged.,gen-1786661212-xG9dR6U8uwM0GDvYr5xa
