claim_id,model_id,score,quote,grading_call_id
c-001,openai/gpt-5.4,3,STE's documented origin is with AECMA; AECMA later became part of ASD.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-001,anthropic/claude-opus-4.7,3,"AECMA (European Association of Aerospace Industries), developed the AECMA Simplified English standard during the late 1970s and early 1980s",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-001,x-ai/grok-4.5,3,Originating body: AECMA (European Association of Aerospace Industries) | Official STEMG about page; home page | Settled,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-002,openai/gpt-5.4,3,"the project formally started on 30 June 1983 with the founding of the AECMA Simplified English Working Group in Amsterdam, at the Fokker plant near Schiphol Airport",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-002,anthropic/claude-opus-4.7,3,The AECMA Simplified English project started. Originally formed in 1983 as a working group (SEWG) to develop AECMA Simplified English,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-002,x-ai/grok-4.5,3,"30 Jun 1983 | First ratification meeting, Fokker Amsterdam; SEWG under Fokker lead; AIA joins",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-003,openai/gpt-5.4,3,"the first release was in 1986 as AECMA Simplified English Guide, PSC-85-16598. Issue 9 gives the exact release date as 1986-02-15.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-003,anthropic/claude-opus-4.7,3,"STE was first released in 1986 as AECMA Document, PSC-85-16598.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-003,x-ai/grok-4.5,3,1986 | Issue 1 / AECMA Simplified English Guide public; ATA 100 requirement,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-004,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-004,anthropic/claude-opus-4.7,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-004,x-ai/grok-4.5,3,Pre-release Issue 0 in 1985; first public Issue 1 / Guide in 1986 | CEUR-WS paper citing Issue 0 (1985) and Issue 1 (1986); official site says first released 1986 as PSC-85-16598,gen-1786650905-zDrGlljHai6rpUVyQwHS
